epoch,phase,rss_mb_total,n_procs
1784057555,idle,923,1
1784057585,idle,924,1
1784057615,idle,930,1
1784057645,idle,907,1
1784057675,idle,919,1
1784057705,idle,920,1
1784057735,idle,929,1
1784057765,idle,931,1
1784057795,idle,942,1
1784057825,idle,944,1
1784057855,idle,952,1
1784057885,idle,953,1
1784057915,idle,953,1
1784057945,idle,961,1
1784057975,idle,962,1
1784058006,idle,968,1
1784058036,idle,970,1
1784058066,idle,977,1
1784058096,idle,935,1
1784058126,idle,943,1
1784058156,idle,947,1
1784058186,idle,958,1
1784058216,idle,960,1
1784058246,idle,968,1
1784058276,idle,969,1
1784058306,idle,989,1
1784058336,idle,994,1
1784058367,idle,0,0
1784058397,idle,0,0
1784058427,idle,0,0
1784058457,idle,0,0
